location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
athens,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.1983841419863934
austin,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.24196415761433032
baltimore,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.47820219726355506
bangor,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.42025266274763234
beaumont,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.07798574596372615
boston,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.6437166542018119
boulder,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.2576401997132851
charleston,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.2617843332513139
cherokee,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.4250099512352316
clt-area,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,1.0016984863588767
colorado,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.5175455300066123
colorado-springs,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.5190102539656394
columbia,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.16578011868242348
columbus,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.18451123288878102
dallas,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.1841204891844408
denver,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.7011934036216902
deschutes,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.3172364539965436
duluth,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.6273390188863296
el-paso,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.7267083036679981
eugene,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.08929873897916786
fay-area,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.8548317505119276
florence,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.08470554901503623
floyd,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.11983823914050064
frederick,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.1501490833405315
georgia,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.30782156907610425
greenville,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.19732285185282836
hall,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.16941375269311643
harford,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.10338793197723994
henry,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.23761767128583605
horry,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.14891680681374922
houston,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.29258825221594303
indiana,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.3760599661983736
indianapolis,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.26249773726212006
la-grange,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.08284898735630125
larimer,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.20559881684858408
lynn,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.355712516801683
macon,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.10651364865822653
maine,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.5687601662197189
marietta,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.1371657339047504
maryland,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.5302034560992755
massachusetts,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.7148303452408168
medford,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.006506504812360455
