location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
athens,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.32776717101073743
austin,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.411688246481455
baltimore,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.5370427037031161
bangor,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.32809104632695607
beaumont,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.259982736405411
boston,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.7185034707548935
boulder,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,1.0260343754207024
charleston,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.42546975027967976
cherokee,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.3850211176173442
clt-area,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,1.169682340149622
colorado,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,1.1698313598698438
colorado-springs,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,1.0552786814836852
columbia,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.20364148637828972
columbus,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.332919538141348
dallas,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.43774055284666624
denver,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,1.2485789258792155
deschutes,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.6052011217264834
duluth,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.9141788354060656
el-paso,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.6645040112377102
eugene,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.20003519796962785
fay-area,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,1.2568710568168482
florence,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.1091889646042818
floyd,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.48845491770124594
frederick,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.23327053490633443
georgia,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.46408442157635404
greenville,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.5091379624065716
hall,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.16741204416637534
harford,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.1595772609530449
henry,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.25005511438022765
horry,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.18631595647755614
houston,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.30334830119510336
indiana,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.7956596779534392
indianapolis,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.6731897243481438
la-grange,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.24980738029298888
larimer,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.5104231030397968
lynn,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.38013303229887074
macon,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.2869405212249185
maine,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.5142462486805951
marietta,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.16953968180693263
maryland,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.5355610760797324
massachusetts,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.7549410791435331
medford,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.06682841081010772
mesa,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.31185833383711536
minneapolis,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,1.1283217581267087
minnesota,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,1.0963400102288356
montgomery,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.4012920256544286
nenc,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.4869074001486894
new-bedford,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.6220057549217574
north-carolina,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.8039346897647678
nyc,2026-03-28,0,2026-03-28,ILI ED visits pct,quantile,0.025,2.171781723944159
ogden,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.32070340559596305
oregon,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.5991585487427588
pittsfield,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.09517710265108152
portland,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.45721730655199
portland-or,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.6693006381787714
provo,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.14565135365527454
roanoke,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.8755465355065281
rochester,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.4366018859264139
rock-hill,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.1443972161381784
rtp-area,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.4259154413984978
salem,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.6382855601739144
salt-lake-city,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.3594706497803005
san-antonio,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.39839380988218326
savannah,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.10884221533270917
senc,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.4838741997513635
south-augusta,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.31807799932057645
south-carolina,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.4409690275414816
springfield,2026-03-28,0,2026-03-28,Flu ED visits pct,quantile,0.025,0.6654374560498675
