location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
athens,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.021954650603169493
austin,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.07972949454514086
baltimore,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.046002920519185066
bangor,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.00742136350108852
beaumont,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.12468585929555441
boston,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.051005679066471604
boulder,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.028502781986662007
charleston,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.041610931978087295
cherokee,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.024260304202195437
clt-area,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.6287120516418061
colorado,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.13672447519595984
colorado-springs,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.12098348316988515
columbia,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.002484009906690449
columbus,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.0
dallas,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.06592493817523974
denver,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.14586194206210723
deschutes,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.10204760876319847
duluth,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.03267125075356511
el-paso,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.5705800919233911
eugene,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.026538806750909923
fay-area,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.45350471667382225
florence,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.020137833285788408
floyd,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.012425220573110256
frederick,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.0018080053261710204
georgia,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.06799023867310908
greenville,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.021795421797355434
hall,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.001386471122009146
harford,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.005105798321389668
henry,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.021219409956806705
horry,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.005129945196179981
houston,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.14901367155708903
indiana,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.031143471037342857
indianapolis,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.01335328074486788
la-grange,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.0
larimer,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.013515470801470074
lynn,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.01439693000818342
macon,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.07300205071239332
maine,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.05058676966168828
marietta,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.015380595488761006
maryland,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.06363966135689199
massachusetts,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.0619549332983944
medford,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.0
mesa,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.003940047858815897
minneapolis,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.08595272198021303
minnesota,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.09269671977302729
montgomery,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.05662910256273517
nenc,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.05788909758978241
new-bedford,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.05840592087466626
north-carolina,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.31274826813330553
ogden,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.015635012257946675
oregon,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.1029134209639444
pittsfield,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.0
