location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
athens,2026-01-10,0,2026-01-10,Flu ED visits pct,quantile,0.025,1.4891374803069761
austin,2026-01-10,0,2026-01-10,Flu ED visits pct,quantile,0.025,1.0480970364932927
baltimore,2026-01-10,0,2026-01-10,Flu ED visits pct,quantile,0.025,2.2765202978243986
bangor,2026-01-10,0,2026-01-10,Flu ED visits pct,quantile,0.025,1.5290432353770862
beaumont,2026-01-10,0,2026-01-10,Flu ED visits pct,quantile,0.025,1.1020504238091071
boston,2026-01-10,0,2026-01-10,Flu ED visits pct,quantile,0.025,1.5135841201545728
boulder,2026-01-10,0,2026-01-10,Flu ED visits pct,quantile,0.025,2.314682491352796
charleston,2026-01-10,0,2026-01-10,Flu ED visits pct,quantile,0.025,0.7716955776986137
cherokee,2026-01-10,0,2026-01-10,Flu ED visits pct,quantile,0.025,1.019880008289293
clt-area,2026-01-10,0,2026-01-10,Flu ED visits pct,quantile,0.025,5.2388273825573854
colorado,2026-01-10,0,2026-01-10,Flu ED visits pct,quantile,0.025,2.0663317194086988
colorado-springs,2026-01-10,0,2026-01-10,Flu ED visits pct,quantile,0.025,2.2326382901809847
columbia,2026-01-10,0,2026-01-10,Flu ED visits pct,quantile,0.025,1.2374235427006934
columbus,2026-01-10,0,2026-01-10,Flu ED visits pct,quantile,0.025,0.7665592366018523
dallas,2026-01-10,0,2026-01-10,Flu ED visits pct,quantile,0.025,1.2264048335954243
denver,2026-01-10,0,2026-01-10,Flu ED visits pct,quantile,0.025,2.1684290510044892
duluth,2026-01-10,0,2026-01-10,Flu ED visits pct,quantile,0.025,1.1818482578967455
el-paso,2026-01-10,0,2026-01-10,Flu ED visits pct,quantile,0.025,1.3347074916464126
fay-area,2026-01-10,0,2026-01-10,Flu ED visits pct,quantile,0.025,4.4078109090427
florence,2026-01-10,0,2026-01-10,Flu ED visits pct,quantile,0.025,1.2701037839373999
floyd,2026-01-10,0,2026-01-10,Flu ED visits pct,quantile,0.025,1.6567870827373337
frederick,2026-01-10,0,2026-01-10,Flu ED visits pct,quantile,0.025,1.2202867084758269
