location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
athens,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,0.7702267183555813
austin,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,0.6452550950715906
baltimore,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,0.5804194287458126
bangor,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,0.2984447242217365
beaumont,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,2.176059796254263
boston,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,0.36988502262274425
boulder,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,0.613311696044549
charleston,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,0.48277632214797256
cherokee,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,0.7990543498229922
clt-area,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,3.8413451215675884
colorado,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,0.5010805438122061
colorado-springs,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,0.4586664409437805
columbia,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,0.31886357816278343
columbus,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,0.1019136288903338
dallas,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,0.7145811009481157
denver,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,0.5010187683312284
deschutes,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,0.17556244277345512
duluth,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,0.10757283573038484
el-paso,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,0.5558820425079823
eugene,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,0.09005987757139727
fay-area,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,2.5667917527012594
florence,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,0.43236793621057645
floyd,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,0.7010919780604082
frederick,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,0.29757304395224105
georgia,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,0.8305747281735353
greenville,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,0.5311604974299378
hall,2025-12-13,0,2025-12-13,Flu ED visits pct,quantile,0.025,0.34126820449391404
