location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
clt-area,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,1.5527722889274476
fay-area,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,2.2725904353294717
nenc,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,1.0303497649588251
north-carolina,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,1.410567975887443
rtp-area,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,1.75742242138308
senc,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.4387232652195156
triad-area,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,1.67351212390297
wnc,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,1.2062211869255428
clt-area,2026-02-07,1,2026-02-14,Flu ED visits pct,quantile,0.025,1.2267524600269673
fay-area,2026-02-07,1,2026-02-14,Flu ED visits pct,quantile,0.025,1.8175346158317682
nenc,2026-02-07,1,2026-02-14,Flu ED visits pct,quantile,0.025,0.7991814122070756
north-carolina,2026-02-07,1,2026-02-14,Flu ED visits pct,quantile,0.025,1.0740678657380525
rtp-area,2026-02-07,1,2026-02-14,Flu ED visits pct,quantile,0.025,1.396801593443488
senc,2026-02-07,1,2026-02-14,Flu ED visits pct,quantile,0.025,0.3474139680365806
triad-area,2026-02-07,1,2026-02-14,Flu ED visits pct,quantile,0.025,1.2924392365834583
wnc,2026-02-07,1,2026-02-14,Flu ED visits pct,quantile,0.025,0.9447324699497353
clt-area,2026-02-07,2,2026-02-21,Flu ED visits pct,quantile,0.025,0.8025534879283114
fay-area,2026-02-07,2,2026-02-21,Flu ED visits pct,quantile,0.025,1.2182827889339587
nenc,2026-02-07,2,2026-02-21,Flu ED visits pct,quantile,0.025,0.5066925002868461
north-carolina,2026-02-07,2,2026-02-21,Flu ED visits pct,quantile,0.025,0.7458713448782779
rtp-area,2026-02-07,2,2026-02-21,Flu ED visits pct,quantile,0.025,0.9364601438968624
senc,2026-02-07,2,2026-02-21,Flu ED visits pct,quantile,0.025,0.23894993963139646
triad-area,2026-02-07,2,2026-02-21,Flu ED visits pct,quantile,0.025,0.8490441273669376
wnc,2026-02-07,2,2026-02-21,Flu ED visits pct,quantile,0.025,0.6238142430995949
clt-area,2026-02-07,3,2026-02-28,Flu ED visits pct,quantile,0.025,0.5981700200950207
fay-area,2026-02-07,3,2026-02-28,Flu ED visits pct,quantile,0.025,0.8904054079514353
nenc,2026-02-07,3,2026-02-28,Flu ED visits pct,quantile,0.025,0.38313539336861363
north-carolina,2026-02-07,3,2026-02-28,Flu ED visits pct,quantile,0.025,0.5548504234921352
rtp-area,2026-02-07,3,2026-02-28,Flu ED visits pct,quantile,0.025,0.7109338207745455
senc,2026-02-07,3,2026-02-28,Flu ED visits pct,quantile,0.025,0.17165821270593007
triad-area,2026-02-07,3,2026-02-28,Flu ED visits pct,quantile,0.025,0.6225629248367672
wnc,2026-02-07,3,2026-02-28,Flu ED visits pct,quantile,0.025,0.4508051673598533
clt-area,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.05,2.0577263703555464
fay-area,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.05,3.056480133310317
nenc,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.05,1.4516696544512957
north-carolina,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.05,1.9668046538434432
rtp-area,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.05,2.302302358518812
senc,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.05,0.6780133200719084
triad-area,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.05,2.1083686521016265
wnc,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.05,1.5833093083005692
clt-area,2026-02-07,1,2026-02-14,Flu ED visits pct,quantile,0.05,1.3808552339568347
fay-area,2026-02-07,1,2026-02-14,Flu ED visits pct,quantile,0.05,2.06069669077556
nenc,2026-02-07,1,2026-02-14,Flu ED visits pct,quantile,0.05,0.9525757932441737
north-carolina,2026-02-07,1,2026-02-14,Flu ED visits pct,quantile,0.05,1.3157391118981039
rtp-area,2026-02-07,1,2026-02-14,Flu ED visits pct,quantile,0.05,1.5811532412007852
senc,2026-02-07,1,2026-02-14,Flu ED visits pct,quantile,0.05,0.4678597735560656
triad-area,2026-02-07,1,2026-02-14,Flu ED visits pct,quantile,0.05,1.4063080650176698
wnc,2026-02-07,1,2026-02-14,Flu ED visits pct,quantile,0.05,1.1057381690995611
clt-area,2026-02-07,2,2026-02-21,Flu ED visits pct,quantile,0.05,0.9853302947811174
fay-area,2026-02-07,2,2026-02-21,Flu ED visits pct,quantile,0.05,1.498564651305805
nenc,2026-02-07,2,2026-02-21,Flu ED visits pct,quantile,0.05,0.6928099297267284
north-carolina,2026-02-07,2,2026-02-21,Flu ED visits pct,quantile,0.05,0.9193336528602518
rtp-area,2026-02-07,2,2026-02-21,Flu ED visits pct,quantile,0.05,1.139309434797047
senc,2026-02-07,2,2026-02-21,Flu ED visits pct,quantile,0.05,0.3288212354684311
triad-area,2026-02-07,2,2026-02-21,Flu ED visits pct,quantile,0.05,1.0204369562242757
wnc,2026-02-07,2,2026-02-21,Flu ED visits pct,quantile,0.05,0.7718795584283987
clt-area,2026-02-07,3,2026-02-28,Flu ED visits pct,quantile,0.05,0.8088998338839402
fay-area,2026-02-07,3,2026-02-28,Flu ED visits pct,quantile,0.05,1.2076945693646937
nenc,2026-02-07,3,2026-02-28,Flu ED visits pct,quantile,0.05,0.5665084512480768
north-carolina,2026-02-07,3,2026-02-28,Flu ED visits pct,quantile,0.05,0.7429602294800915
rtp-area,2026-02-07,3,2026-02-28,Flu ED visits pct,quantile,0.05,0.9231858023577313
senc,2026-02-07,3,2026-02-28,Flu ED visits pct,quantile,0.05,0.26227435403462857
triad-area,2026-02-07,3,2026-02-28,Flu ED visits pct,quantile,0.05,0.8198741473268416
wnc,2026-02-07,3,2026-02-28,Flu ED visits pct,quantile,0.05,0.629774932312595
clt-area,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.1,2.470640538005579
fay-area,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.1,3.453859677215135
nenc,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.1,1.7891805418322233
north-carolina,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.1,2.3114779659771525
rtp-area,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.1,2.630385697916415
senc,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.1,0.9049239856372121
triad-area,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.1,2.457763762465091
wnc,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.1,1.8767034355715828
clt-area,2026-02-07,1,2026-02-14,Flu ED visits pct,quantile,0.1,1.6639299325611456
fay-area,2026-02-07,1,2026-02-14,Flu ED visits pct,quantile,0.1,2.3268342242561797
nenc,2026-02-07,1,2026-02-14,Flu ED visits pct,quantile,0.1,1.222651498296299
north-carolina,2026-02-07,1,2026-02-14,Flu ED visits pct,quantile,0.1,1.5250965885584056
rtp-area,2026-02-07,1,2026-02-14,Flu ED visits pct,quantile,0.1,1.7818146710122267
senc,2026-02-07,1,2026-02-14,Flu ED visits pct,quantile,0.1,0.6122509800135526
triad-area,2026-02-07,1,2026-02-14,Flu ED visits pct,quantile,0.1,1.6385753270737853
wnc,2026-02-07,1,2026-02-14,Flu ED visits pct,quantile,0.1,1.242751757075199
clt-area,2026-02-07,2,2026-02-21,Flu ED visits pct,quantile,0.1,1.2463896990194971
fay-area,2026-02-07,2,2026-02-21,Flu ED visits pct,quantile,0.1,1.724244730088066
nenc,2026-02-07,2,2026-02-21,Flu ED visits pct,quantile,0.1,0.9068322459791942
north-carolina,2026-02-07,2,2026-02-21,Flu ED visits pct,quantile,0.1,1.1662759930209803
rtp-area,2026-02-07,2,2026-02-21,Flu ED visits pct,quantile,0.1,1.286512789807336
senc,2026-02-07,2,2026-02-21,Flu ED visits pct,quantile,0.1,0.46064105831125635
triad-area,2026-02-07,2,2026-02-21,Flu ED visits pct,quantile,0.1,1.2106062389871115
wnc,2026-02-07,2,2026-02-21,Flu ED visits pct,quantile,0.1,0.9039650122452904
clt-area,2026-02-07,3,2026-02-28,Flu ED visits pct,quantile,0.1,1.0098149254406315
fay-area,2026-02-07,3,2026-02-28,Flu ED visits pct,quantile,0.1,1.3727095815246444
nenc,2026-02-07,3,2026-02-28,Flu ED visits pct,quantile,0.1,0.6931579900351865
north-carolina,2026-02-07,3,2026-02-28,Flu ED visits pct,quantile,0.1,0.9105045792191664
rtp-area,2026-02-07,3,2026-02-28,Flu ED visits pct,quantile,0.1,1.0415022302422043
senc,2026-02-07,3,2026-02-28,Flu ED visits pct,quantile,0.1,0.36267707904109026
triad-area,2026-02-07,3,2026-02-28,Flu ED visits pct,quantile,0.1,0.9665074785886612
wnc,2026-02-07,3,2026-02-28,Flu ED visits pct,quantile,0.1,0.7240740336667747
clt-area,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.25,2.913603991714533
fay-area,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.25,4.148896255576379
nenc,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.25,2.1526541374868966
north-carolina,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.25,2.7870737584555263
rtp-area,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.25,3.0804854673674362
senc,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.25,1.1247983688928331
triad-area,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.25,2.868949158978521
wnc,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.25,2.3089575688756234
clt-area,2026-02-07,1,2026-02-14,Flu ED visits pct,quantile,0.25,2.2907480280041543
