location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
athens,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.024827576261330093
austin,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.08112799593101513
baltimore,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.04746668661460933
bangor,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.007378727862426769
beaumont,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.12913097770573048
boston,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.05413105607277926
boulder,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.03160695839413426
charleston,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.0544448452379215
cherokee,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.031437357811617175
clt-area,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.7270289448603467
colorado,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.1386271149840297
colorado-springs,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.15330135612048748
columbia,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.007399374988391246
columbus,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.003816380029149566
dallas,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.07576655008279032
denver,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.14758247039864167
deschutes,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.09724737594622086
duluth,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.04111261264720954
el-paso,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.636830396442642
eugene,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.029796316118092088
fay-area,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.5380040966629428
florence,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.02311800670200593
floyd,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.021669301004378527
frederick,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.0016234191793900472
georgia,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.06668571535124346
greenville,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.025908529288125974
hall,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.004991141948973916
harford,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.007012732553069582
henry,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.026782673207276196
horry,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.010064907767552362
houston,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.1657765267390913
indiana,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.028204377655339695
indianapolis,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.01585612233837002
la-grange,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.0
larimer,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.012732015453152517
lynn,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.0206144576848696
macon,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.08869913888703267
maine,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.05262246477043402
marietta,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.017604153356812036
maryland,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.06205876143196971
massachusetts,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.05770714089737113
medford,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.0
mesa,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.00041240068392339735
minneapolis,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.1018240230955362
minnesota,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.10078407346347956
montgomery,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.06697612603216752
nenc,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.05414693950614952
new-bedford,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.07428782094858603
north-carolina,2026-05-23,0,2026-05-23,Flu ED visits pct,quantile,0.025,0.31535823036364086
