location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
athens,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.23663674535949983
austin,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.2726740973126043
baltimore,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.5218299914122496
bangor,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.4584619210815738
beaumont,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.2610643238422423
boston,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.7148238177549288
boulder,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.4390168687280687
charleston,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.2542497411169421
cherokee,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.461797722368868
clt-area,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.9917153750810095
colorado,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.6842187352089386
colorado-springs,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.8195079450546456
columbia,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.2023948139457819
columbus,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.3167701421124728
dallas,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.272542663909279
denver,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.8085874687744165
deschutes,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.28367390081328886
duluth,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.741958960841801
el-paso,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.5672915212604213
eugene,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.14463837448560607
fay-area,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.9375268030954392
florence,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.043542986022058444
floyd,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.2144800713929399
frederick,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.6332211993428398
georgia,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.3409256601934538
greenville,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.2645711033378383
hall,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.25624158383773904
harford,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.1376957774470485
henry,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.17139235795460342
horry,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.2837238589552528
houston,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.3222690507728989
indiana,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.4953350504173504
indianapolis,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.3494873159209327
la-grange,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.11451853081919838
larimer,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.32172321679745436
lynn,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.4484397679765869
macon,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.13595601889387326
maine,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.533078167810037
marietta,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.17048357425103103
maryland,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.5912539506906958
massachusetts,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.7717391989893851
medford,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.01143883522919423
mesa,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.02005654908214185
minneapolis,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.8799481422426894
minnesota,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.7665902045001473
montgomery,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.5556999724433
nenc,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.3396331655402716
new-bedford,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.7325222580351279
north-carolina,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.6082914296845348
nyc,2026-04-04,0,2026-04-04,ILI ED visits pct,quantile,0.025,2.2041083690775283
ogden,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.1938496245381505
oregon,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.4470446326484835
pittsfield,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.04122895296878009
portland,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.3821905359986312
portland-or,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.5092698106405711
provo,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.09852203249005764
roanoke,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.5204712407049089
rochester,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.29160490060515964
rock-hill,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.2153062733197143
rtp-area,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.36749820769185965
salem,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.36635482973788813
salt-lake-city,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.22704412938041638
san-antonio,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.3502300599492707
savannah,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.17922895914710135
senc,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.5122159714882414
south-augusta,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.2951800802185685
south-carolina,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.3302629279130473
springfield,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.8027127700615448
st-cloud,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.4596751877156879
st-paul,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.5812890311057602
texas,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.417382575511032
triad-area,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.46077093539633723
utah,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.26251419407562343
