location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
athens,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.7467071752692614
austin,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.6149565991850385
baltimore,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.31040942944260247
bangor,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.5594518063897604
beaumont,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.5564429600280364
boston,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.7491082912485115
boulder,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.3931125340332962
charleston,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.229192357509817
cherokee,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.3530689319123146
clt-area,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,2.083228362824904
colorado,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.9728578442894873
colorado-springs,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.0649644802099825
columbia,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.0920423428613828
columbus,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.194567716711068
dallas,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.426635287243154
denver,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.9968443002871703
deschutes,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.915344667628196
duluth,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.7419616360314548
el-paso,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.5230536142704824
eugene,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.4560452693039363
fay-area,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,2.444590320742031
florence,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.2817182689311737
floyd,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.9754268354516801
frederick,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.41134658787281586
georgia,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.2177709381352766
greenville,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.4534050885958845
hall,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.663312158146807
harford,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.3521353429970615
henry,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.9235058125165131
horry,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.8951321783777629
houston,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.5768242749290219
indiana,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.8914837648490956
indianapolis,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,2.6374462245193966
la-grange,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.8173509901260745
larimer,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.5040204035574338
lynn,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.6541591358221301
macon,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.8775122746272527
maine,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.7312188385668184
marietta,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.7028207574668752
maryland,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.48751063943260103
massachusetts,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.7439024050901465
medford,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.5393955140545716
mesa,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.6291384523226026
minneapolis,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.8812771380765205
minnesota,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.9942139769750724
montgomery,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.4870793500661984
nenc,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.3751527848193885
new-bedford,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.7928626356410918
north-carolina,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.4922339003727445
nyc,2026-02-28,0,2026-02-28,ILI ED visits pct,quantile,0.025,2.0410533307523138
ogden,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.998782996777696
oregon,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.6102059206385697
pittsfield,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.15306400561892738
portland,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.48509084605192043
portland-or,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.6319619727525672
provo,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.7104296221984746
roanoke,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.0966485087558635
rochester,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.646262286179933
rock-hill,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.4838367689269518
rtp-area,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.4610359069704915
salem,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.5954221386839378
salt-lake-city,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.230130619922897
san-antonio,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,2.711969955315453
savannah,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.7555090946285973
senc,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.9247915535837069
south-augusta,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.1935448965619542
south-carolina,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.5144780094395105
springfield,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.468144962020882
st-cloud,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.4841206221839007
st-paul,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.7656063614600952
texas,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.4822961527080256
triad-area,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.822276375593377
utah,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.1385374751889732
virginia,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.9956717761266369
weld,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.5037842460920134
wnc,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.1480959496181842
worcester,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.5376876051611009
athens,2026-02-28,1,2026-03-07,Flu ED visits pct,quantile,0.025,0.5695242845107159
austin,2026-02-28,1,2026-03-07,Flu ED visits pct,quantile,0.025,1.1891030459143277
baltimore,2026-02-28,1,2026-03-07,Flu ED visits pct,quantile,0.025,0.23184467830844147
bangor,2026-02-28,1,2026-03-07,Flu ED visits pct,quantile,0.025,0.40188563928996934
beaumont,2026-02-28,1,2026-03-07,Flu ED visits pct,quantile,0.025,0.39849113529763897
boston,2026-02-28,1,2026-03-07,Flu ED visits pct,quantile,0.025,0.5799860446011111
boulder,2026-02-28,1,2026-03-07,Flu ED visits pct,quantile,0.025,1.0974944873217058
charleston,2026-02-28,1,2026-03-07,Flu ED visits pct,quantile,0.025,0.8753392022272107
cherokee,2026-02-28,1,2026-03-07,Flu ED visits pct,quantile,0.025,1.0392458535422118
clt-area,2026-02-28,1,2026-03-07,Flu ED visits pct,quantile,0.025,1.6914480370639904
colorado,2026-02-28,1,2026-03-07,Flu ED visits pct,quantile,0.025,0.7725806956748805
colorado-springs,2026-02-28,1,2026-03-07,Flu ED visits pct,quantile,0.025,0.8364376528524397
columbia,2026-02-28,1,2026-03-07,Flu ED visits pct,quantile,0.025,0.8024432137380458
columbus,2026-02-28,1,2026-03-07,Flu ED visits pct,quantile,0.025,0.8881176962379799
