location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
athens,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.4356634688269832
austin,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.0589838137041656
baltimore,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.11210085348057677
bangor,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.30090766860672885
beaumont,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.2549055784392992
boston,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.3987285660392224
boulder,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.250158337799715
charleston,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.9230155961617384
cherokee,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.9803947378735588
clt-area,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.3505592907947033
colorado,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.6850961333215271
colorado-springs,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.6846306782812603
columbia,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.67488234789885
columbus,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.9002371965619614
dallas,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.9091731807121392
denver,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.6530083980186784
deschutes,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.6584546693276709
duluth,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.4727723383747042
el-paso,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.22962526515870063
eugene,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.1483808516304077
fay-area,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.7299547242965938
florence,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.0296054162651185
floyd,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.7125594095729743
frederick,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.17604634713346065
georgia,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.9811483549578446
greenville,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.744126178467146
hall,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.48361648314877087
harford,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.16695130236081793
henry,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.510592922018804
horry,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.4763704591637536
houston,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.3299457757527035
indiana,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.2299040587485466
indianapolis,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,2.226628127464151
la-grange,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.6503752501431543
larimer,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.39220682774834725
lynn,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.30074865820943675
macon,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.5655121074230106
maine,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.5362852418607357
marietta,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.4904635457687895
maryland,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.2652512079889221
massachusetts,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.42374450970871425
medford,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.43378651478908
mesa,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.40453347349439983
minneapolis,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.46094423864078427
minnesota,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.6694233711226487
montgomery,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.20555223231335168
nenc,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.87034297755987
new-bedford,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.42319125858171835
north-carolina,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.9429589067772326
nyc,2026-02-28,0,2026-02-28,ILI ED visits pct,quantile,0.025,1.3211918927246873
ogden,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.6495867854420132
oregon,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.4197405137714199
pittsfield,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.1267180410810263
portland,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.3391795110934638
portland-or,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.3096672708017296
provo,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.3722204250058484
roanoke,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.6062199367542905
rochester,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.3199372637433722
rock-hill,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.20075155408172163
rtp-area,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.9734971005709674
salem,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.2754377218298358
salt-lake-city,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.9124410887681937
san-antonio,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,2.302805314690756
savannah,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.5420725701237074
senc,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.6242904766097508
south-augusta,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.0990972331539015
south-carolina,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.0689900962847871
springfield,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.17947452021484986
st-cloud,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.262757224969442
st-paul,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.29879182086161293
texas,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,1.0666196744694778
triad-area,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.4533589567891925
utah,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.8439889762555216
virginia,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.5836225036376241
weld,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.25303057871171236
wnc,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.6724574111077489
worcester,2026-02-28,0,2026-02-28,Flu ED visits pct,quantile,0.025,0.2548669068253809
athens,2026-02-28,1,2026-03-07,Flu ED visits pct,quantile,0.025,0.418473508415785
austin,2026-02-28,1,2026-03-07,Flu ED visits pct,quantile,0.025,1.0102113077044514
baltimore,2026-02-28,1,2026-03-07,Flu ED visits pct,quantile,0.025,0.10886219022762786
bangor,2026-02-28,1,2026-03-07,Flu ED visits pct,quantile,0.025,0.2889975724160783
beaumont,2026-02-28,1,2026-03-07,Flu ED visits pct,quantile,0.025,0.23389114738529904
boston,2026-02-28,1,2026-03-07,Flu ED visits pct,quantile,0.025,0.39306591791885703
boulder,2026-02-28,1,2026-03-07,Flu ED visits pct,quantile,0.025,1.0889639795091621
charleston,2026-02-28,1,2026-03-07,Flu ED visits pct,quantile,0.025,0.7739831159945294
