location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
athens,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.015761434007236903
austin,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.0605378536423738
baltimore,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.0323333948381049
bangor,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.020856814752399963
beaumont,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.03438730335883429
boston,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.05180103734341131
boulder,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.12282944782782491
charleston,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.04265147813740689
cherokee,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.012243627030956368
clt-area,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.40050433468933533
colorado,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.19754666415341884
colorado-springs,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.14229858510349186
columbia,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.029889086851264
columbus,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.0
dallas,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.07754467695233565
denver,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.1435609968134312
deschutes,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.046056284754531364
duluth,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.07151778041961052
el-paso,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.487702186109515
eugene,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.01241177663016914
fay-area,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.38984810757753646
florence,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.004199721937691369
floyd,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.023632524420177853
frederick,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.005463093818257794
georgia,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.07563846436157001
greenville,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.009353442573972389
hall,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.015275059932452704
harford,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.0016535995417575663
henry,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.013969972177328755
horry,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.018325501250763647
houston,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.11042811439812532
indiana,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.05672977751090621
indianapolis,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.012412202904671548
la-grange,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.015468528972315437
larimer,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.05705039256380851
lynn,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.034491864319195396
macon,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.04766847103991458
maine,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.11104114438620895
marietta,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.007598138037412069
maryland,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.0797630922099218
massachusetts,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.08759638930058729
medford,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.0
mesa,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.000154761913249285
minneapolis,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.11197758851740813
minnesota,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.14816092692376884
