location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
athens,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.5187413413123164
austin,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.6466009123087798
baltimore,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.11672954076741084
bangor,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.33620469569168343
beaumont,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.20526551439917096
boston,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.27385043618606386
boulder,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.3562171825121951
charleston,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.6482481936860334
cherokee,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.4748927219810411
clt-area,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.533024486020049
colorado,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.7543833823801344
colorado-springs,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.4789229523015947
columbia,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.3116383015529492
columbus,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.7305628187049629
dallas,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.6811212100924824
denver,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.8930452565304688
deschutes,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.6416209140345734
duluth,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.4915623043101458
el-paso,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.3508891679107836
eugene,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.8777623872957343
fay-area,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.6657099634724615
florence,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.33529774018278097
floyd,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.712022729105102
frederick,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.14276946062958196
georgia,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.4857871042202781
greenville,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.48918365429807237
hall,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.3645202259934078
harford,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.11010563215526432
henry,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.2722423438914527
horry,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.3693525240914793
houston,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.2729796142890208
indiana,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.9147331888106722
indianapolis,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.7103484306527528
la-grange,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.36700225989054186
larimer,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.4071118948310016
lynn,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.2287923301493929
macon,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.2767184091022966
maine,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.3490739244406482
marietta,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.2668144719406406
maryland,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.23039110973755286
massachusetts,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.3038838562698214
medford,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.4261633447280211
mesa,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.36186053761209624
minneapolis,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.7199851277059852
minnesota,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.7473956190275431
montgomery,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.14733279806118865
nenc,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.8248958179099433
new-bedford,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.4263809358819145
north-carolina,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.0181485718971877
nyc,2026-03-07,0,2026-03-07,ILI ED visits pct,quantile,0.025,1.0720483281409097
ogden,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.6395949350598656
oregon,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.8563511750096634
pittsfield,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.06553205333468234
portland,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.1904429812227651
portland-or,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.915735738660416
provo,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.13921253211003592
roanoke,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.9103992895742012
rochester,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.1398918014219228
rock-hill,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.0052966722093431996
rtp-area,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.7989420226623941
salem,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.8663884803969956
salt-lake-city,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.5764092201521126
san-antonio,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.2869888011224706
savannah,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.1174122090490712
senc,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.4214599038564681
south-augusta,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.7211459118332706
south-carolina,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.6104537392998592
springfield,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.20562665496034202
st-cloud,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.5946920450003536
st-paul,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.515486847695272
texas,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.6766788824462214
triad-area,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.5503204623954159
utah,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.5580000633068242
virginia,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.6173598266331393
weld,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.5821514032751085
wnc,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.7657320956120065
worcester,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.2824363714563406
athens,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.49628566230957427
austin,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.6322210426374775
baltimore,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.11380609522127738
bangor,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.31970889384319856
beaumont,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.1924828839975772
boston,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.26324848426386765
boulder,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,1.120291470419949
charleston,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.6118163482433446
cherokee,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.44650085668972583
clt-area,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,1.1713259012936141
colorado,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.735240433376993
