"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
"2026-01-31","colorado",0,"Flu ED visits pct","2026-01-31","quantile",0.025,0.77541842021199
"2026-01-31","denver",0,"Flu ED visits pct","2026-01-31","quantile",0.025,0.611430394259807
"2026-01-31","mesa",0,"Flu ED visits pct","2026-01-31","quantile",0.025,0.189263908543782
"2026-01-31","colorado-springs",0,"Flu ED visits pct","2026-01-31","quantile",0.025,0.769011320759765
"2026-01-31","weld",0,"Flu ED visits pct","2026-01-31","quantile",0.025,0
"2026-01-31","boulder",0,"Flu ED visits pct","2026-01-31","quantile",0.025,0.34644318168173
"2026-01-31","larimer",0,"Flu ED visits pct","2026-01-31","quantile",0.025,0.33697523472934
"2026-01-31","colorado",0,"Flu ED visits pct","2026-01-31","quantile",0.05,0.857335996035061
"2026-01-31","denver",0,"Flu ED visits pct","2026-01-31","quantile",0.05,0.707013217499629
"2026-01-31","mesa",0,"Flu ED visits pct","2026-01-31","quantile",0.05,0.337062353983484
"2026-01-31","colorado-springs",0,"Flu ED visits pct","2026-01-31","quantile",0.05,0.882403749266145
"2026-01-31","weld",0,"Flu ED visits pct","2026-01-31","quantile",0.05,0.028928986724467
"2026-01-31","boulder",0,"Flu ED visits pct","2026-01-31","quantile",0.05,0.51833743872788
"2026-01-31","larimer",0,"Flu ED visits pct","2026-01-31","quantile",0.05,0.461464310222289
"2026-01-31","colorado",0,"Flu ED visits pct","2026-01-31","quantile",0.1,0.962952859550153
"2026-01-31","denver",0,"Flu ED visits pct","2026-01-31","quantile",0.1,0.81856340481962
"2026-01-31","mesa",0,"Flu ED visits pct","2026-01-31","quantile",0.1,0.624725559087203
"2026-01-31","colorado-springs",0,"Flu ED visits pct","2026-01-31","quantile",0.1,1.03261278384948
"2026-01-31","weld",0,"Flu ED visits pct","2026-01-31","quantile",0.1,0.14777078085712
"2026-01-31","boulder",0,"Flu ED visits pct","2026-01-31","quantile",0.1,0.675954761997197
"2026-01-31","larimer",0,"Flu ED visits pct","2026-01-31","quantile",0.1,0.621853557892777
"2026-01-31","colorado",0,"Flu ED visits pct","2026-01-31","quantile",0.25,1.12455001733455
"2026-01-31","denver",0,"Flu ED visits pct","2026-01-31","quantile",0.25,0.988276592596497
"2026-01-31","mesa",0,"Flu ED visits pct","2026-01-31","quantile",0.25,1.16341416973285
"2026-01-31","colorado-springs",0,"Flu ED visits pct","2026-01-31","quantile",0.25,1.32445852543937
"2026-01-31","weld",0,"Flu ED visits pct","2026-01-31","quantile",0.25,0.384931510663379
"2026-01-31","boulder",0,"Flu ED visits pct","2026-01-31","quantile",0.25,1.06925339536719
"2026-01-31","larimer",0,"Flu ED visits pct","2026-01-31","quantile",0.25,0.921120458215263
"2026-01-31","colorado",0,"Flu ED visits pct","2026-01-31","quantile",0.5,1.34549335106993
"2026-01-31","denver",0,"Flu ED visits pct","2026-01-31","quantile",0.5,1.19868985628475
"2026-01-31","mesa",0,"Flu ED visits pct","2026-01-31","quantile",0.5,1.90456175560371
"2026-01-31","colorado-springs",0,"Flu ED visits pct","2026-01-31","quantile",0.5,1.69268695270874
"2026-01-31","weld",0,"Flu ED visits pct","2026-01-31","quantile",0.5,0.792110376202619
"2026-01-31","boulder",0,"Flu ED visits pct","2026-01-31","quantile",0.5,1.6236670301949
"2026-01-31","larimer",0,"Flu ED visits pct","2026-01-31","quantile",0.5,1.36336139680353
"2026-01-31","colorado",0,"Flu ED visits pct","2026-01-31","quantile",0.75,1.57396570740228
"2026-01-31","denver",0,"Flu ED visits pct","2026-01-31","quantile",0.75,1.44487908264683
"2026-01-31","mesa",0,"Flu ED visits pct","2026-01-31","quantile",0.75,2.939587655061
"2026-01-31","colorado-springs",0,"Flu ED visits pct","2026-01-31","quantile",0.75,2.13035383716342
"2026-01-31","weld",0,"Flu ED visits pct","2026-01-31","quantile",0.75,1.37897400966294
"2026-01-31","boulder",0,"Flu ED visits pct","2026-01-31","quantile",0.75,2.37339885962467
"2026-01-31","larimer",0,"Flu ED visits pct","2026-01-31","quantile",0.75,1.89790869000239
"2026-01-31","colorado",0,"Flu ED visits pct","2026-01-31","quantile",0.9,1.8011834650611
"2026-01-31","denver",0,"Flu ED visits pct","2026-01-31","quantile",0.9,1.69206901001094
"2026-01-31","mesa",0,"Flu ED visits pct","2026-01-31","quantile",0.9,4.20278053593991
"2026-01-31","colorado-springs",0,"Flu ED visits pct","2026-01-31","quantile",0.9,2.61901852003698
"2026-01-31","weld",0,"Flu ED visits pct","2026-01-31","quantile",0.9,2.07150715248814
"2026-01-31","boulder",0,"Flu ED visits pct","2026-01-31","quantile",0.9,3.08424232335984
"2026-01-31","larimer",0,"Flu ED visits pct","2026-01-31","quantile",0.9,2.44950536615401
"2026-01-31","colorado",0,"Flu ED visits pct","2026-01-31","quantile",0.95,1.95067901745678
"2026-01-31","denver",0,"Flu ED visits pct","2026-01-31","quantile",0.95,1.82580619426612
"2026-01-31","mesa",0,"Flu ED visits pct","2026-01-31","quantile",0.95,5.17096165508851
"2026-01-31","colorado-springs",0,"Flu ED visits pct","2026-01-31","quantile",0.95,2.94918688188303
"2026-01-31","weld",0,"Flu ED visits pct","2026-01-31","quantile",0.95,2.59776652886474
"2026-01-31","boulder",0,"Flu ED visits pct","2026-01-31","quantile",0.95,3.5642690968194
"2026-01-31","larimer",0,"Flu ED visits pct","2026-01-31","quantile",0.95,2.81906263281347
"2026-01-31","colorado",0,"Flu ED visits pct","2026-01-31","quantile",0.975,2.11196149872988
"2026-01-31","denver",0,"Flu ED visits pct","2026-01-31","quantile",0.975,1.94396872388995
"2026-01-31","mesa",0,"Flu ED visits pct","2026-01-31","quantile",0.975,6.03321002001598
"2026-01-31","colorado-springs",0,"Flu ED visits pct","2026-01-31","quantile",0.975,3.22791438491074
"2026-01-31","weld",0,"Flu ED visits pct","2026-01-31","quantile",0.975,3.09081025952813
"2026-01-31","boulder",0,"Flu ED visits pct","2026-01-31","quantile",0.975,4.12679424581779
"2026-01-31","larimer",0,"Flu ED visits pct","2026-01-31","quantile",0.975,3.17434404249459
"2026-01-31","colorado",1,"Flu ED visits pct","2026-02-07","quantile",0.025,0.30667193621538
"2026-01-31","denver",1,"Flu ED visits pct","2026-02-07","quantile",0.025,0.20584565829297
"2026-01-31","mesa",1,"Flu ED visits pct","2026-02-07","quantile",0.025,0
"2026-01-31","colorado-springs",1,"Flu ED visits pct","2026-02-07","quantile",0.025,0.200060853603468
"2026-01-31","weld",1,"Flu ED visits pct","2026-02-07","quantile",0.025,0
"2026-01-31","boulder",1,"Flu ED visits pct","2026-02-07","quantile",0.025,0
"2026-01-31","larimer",1,"Flu ED visits pct","2026-02-07","quantile",0.025,0
"2026-01-31","colorado",1,"Flu ED visits pct","2026-02-07","quantile",0.05,0.389197376632237
"2026-01-31","denver",1,"Flu ED visits pct","2026-02-07","quantile",0.05,0.288737792637738
"2026-01-31","mesa",1,"Flu ED visits pct","2026-02-07","quantile",0.05,0
"2026-01-31","colorado-springs",1,"Flu ED visits pct","2026-02-07","quantile",0.05,0.324917425748859
"2026-01-31","weld",1,"Flu ED visits pct","2026-02-07","quantile",0.05,0
"2026-01-31","boulder",1,"Flu ED visits pct","2026-02-07","quantile",0.05,0
"2026-01-31","larimer",1,"Flu ED visits pct","2026-02-07","quantile",0.05,0.0444054684200004
"2026-01-31","colorado",1,"Flu ED visits pct","2026-02-07","quantile",0.1,0.483727323008511
"2026-01-31","denver",1,"Flu ED visits pct","2026-02-07","quantile",0.1,0.385406459195259
"2026-01-31","mesa",1,"Flu ED visits pct","2026-02-07","quantile",0.1,0.0239536112902515
"2026-01-31","colorado-springs",1,"Flu ED visits pct","2026-02-07","quantile",0.1,0.51474940710876
"2026-01-31","weld",1,"Flu ED visits pct","2026-02-07","quantile",0.1,0
"2026-01-31","boulder",1,"Flu ED visits pct","2026-02-07","quantile",0.1,0.134624088961496
"2026-01-31","larimer",1,"Flu ED visits pct","2026-02-07","quantile",0.1,0.18149244490296
"2026-01-31","colorado",1,"Flu ED visits pct","2026-02-07","quantile",0.25,0.672626945746713
"2026-01-31","denver",1,"Flu ED visits pct","2026-02-07","quantile",0.25,0.587821072591294
"2026-01-31","mesa",1,"Flu ED visits pct","2026-02-07","quantile",0.25,0.465393031196167
"2026-01-31","colorado-springs",1,"Flu ED visits pct","2026-02-07","quantile",0.25,0.812697757793586
