"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
"2026-03-28","colorado",0,"Flu ED visits pct","2026-03-28","quantile",0.025,1.15208078530933
"2026-03-28","denver",0,"Flu ED visits pct","2026-03-28","quantile",0.025,1.07360100098406
"2026-03-28","mesa",0,"Flu ED visits pct","2026-03-28","quantile",0.025,0
"2026-03-28","colorado-springs",0,"Flu ED visits pct","2026-03-28","quantile",0.025,0.887775129196818
"2026-03-28","weld",0,"Flu ED visits pct","2026-03-28","quantile",0.025,0.344793871819588
"2026-03-28","boulder",0,"Flu ED visits pct","2026-03-28","quantile",0.025,0.780908847988977
"2026-03-28","larimer",0,"Flu ED visits pct","2026-03-28","quantile",0.025,0.399560754305695
"2026-03-28","colorado",0,"Flu ED visits pct","2026-03-28","quantile",0.05,1.24445607178565
"2026-03-28","denver",0,"Flu ED visits pct","2026-03-28","quantile",0.05,1.20695810552251
"2026-03-28","mesa",0,"Flu ED visits pct","2026-03-28","quantile",0.05,0
"2026-03-28","colorado-springs",0,"Flu ED visits pct","2026-03-28","quantile",0.05,1.03131732409327
"2026-03-28","weld",0,"Flu ED visits pct","2026-03-28","quantile",0.05,0.540648114807534
"2026-03-28","boulder",0,"Flu ED visits pct","2026-03-28","quantile",0.05,1.04572615681112
"2026-03-28","larimer",0,"Flu ED visits pct","2026-03-28","quantile",0.05,0.544970873100022
"2026-03-28","colorado",0,"Flu ED visits pct","2026-03-28","quantile",0.1,1.37449150020434
"2026-03-28","denver",0,"Flu ED visits pct","2026-03-28","quantile",0.1,1.35096346432188
"2026-03-28","mesa",0,"Flu ED visits pct","2026-03-28","quantile",0.1,0.0648441197489198
"2026-03-28","colorado-springs",0,"Flu ED visits pct","2026-03-28","quantile",0.1,1.19755725664453
"2026-03-28","weld",0,"Flu ED visits pct","2026-03-28","quantile",0.1,0.755512177816299
"2026-03-28","boulder",0,"Flu ED visits pct","2026-03-28","quantile",0.1,1.26861526524274
"2026-03-28","larimer",0,"Flu ED visits pct","2026-03-28","quantile",0.1,0.710345518241722
"2026-03-28","colorado",0,"Flu ED visits pct","2026-03-28","quantile",0.25,1.57766530010832
"2026-03-28","denver",0,"Flu ED visits pct","2026-03-28","quantile",0.25,1.5748591909389
"2026-03-28","mesa",0,"Flu ED visits pct","2026-03-28","quantile",0.25,0.350935866989621
"2026-03-28","colorado-springs",0,"Flu ED visits pct","2026-03-28","quantile",0.25,1.50746430942129
"2026-03-28","weld",0,"Flu ED visits pct","2026-03-28","quantile",0.25,1.18506266025821
"2026-03-28","boulder",0,"Flu ED visits pct","2026-03-28","quantile",0.25,1.80104504815378
"2026-03-28","larimer",0,"Flu ED visits pct","2026-03-28","quantile",0.25,1.02695379161596
"2026-03-28","colorado",0,"Flu ED visits pct","2026-03-28","quantile",0.5,1.84140388367298
"2026-03-28","denver",0,"Flu ED visits pct","2026-03-28","quantile",0.5,1.85312864504021
"2026-03-28","mesa",0,"Flu ED visits pct","2026-03-28","quantile",0.5,0.764846044003519
"2026-03-28","colorado-springs",0,"Flu ED visits pct","2026-03-28","quantile",0.5,1.900750592479
"2026-03-28","weld",0,"Flu ED visits pct","2026-03-28","quantile",0.5,1.876236474881
"2026-03-28","boulder",0,"Flu ED visits pct","2026-03-28","quantile",0.5,2.54587217357681
"2026-03-28","larimer",0,"Flu ED visits pct","2026-03-28","quantile",0.5,1.47992703317531
"2026-03-28","colorado",0,"Flu ED visits pct","2026-03-28","quantile",0.75,2.11609075950062
"2026-03-28","denver",0,"Flu ED visits pct","2026-03-28","quantile",0.75,2.17291788000021
"2026-03-28","mesa",0,"Flu ED visits pct","2026-03-28","quantile",0.75,1.37161661375289
"2026-03-28","colorado-springs",0,"Flu ED visits pct","2026-03-28","quantile",0.75,2.37174649227586
"2026-03-28","weld",0,"Flu ED visits pct","2026-03-28","quantile",0.75,2.79841264022351
