"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
"2026-02-14","colorado",0,"Flu ED visits pct","2026-02-14","quantile",0.025,0.587362026613904
"2026-02-14","denver",0,"Flu ED visits pct","2026-02-14","quantile",0.025,0.404286050299193
"2026-02-14","mesa",0,"Flu ED visits pct","2026-02-14","quantile",0.025,0.00181302937705929
"2026-02-14","colorado-springs",0,"Flu ED visits pct","2026-02-14","quantile",0.025,0.519828769515591
"2026-02-14","weld",0,"Flu ED visits pct","2026-02-14","quantile",0.025,0
"2026-02-14","boulder",0,"Flu ED visits pct","2026-02-14","quantile",0.025,0.766328935883698
"2026-02-14","larimer",0,"Flu ED visits pct","2026-02-14","quantile",0.025,0.242619656535282
"2026-02-14","colorado",0,"Flu ED visits pct","2026-02-14","quantile",0.05,0.657269851525627
"2026-02-14","denver",0,"Flu ED visits pct","2026-02-14","quantile",0.05,0.481044611082253
"2026-02-14","mesa",0,"Flu ED visits pct","2026-02-14","quantile",0.05,0.118591275718772
"2026-02-14","colorado-springs",0,"Flu ED visits pct","2026-02-14","quantile",0.05,0.618072206058837
"2026-02-14","weld",0,"Flu ED visits pct","2026-02-14","quantile",0.05,0.0900324775323776
"2026-02-14","boulder",0,"Flu ED visits pct","2026-02-14","quantile",0.05,1.02447483763266
"2026-02-14","larimer",0,"Flu ED visits pct","2026-02-14","quantile",0.05,0.357539967385674
"2026-02-14","colorado",0,"Flu ED visits pct","2026-02-14","quantile",0.1,0.750461482010778
"2026-02-14","denver",0,"Flu ED visits pct","2026-02-14","quantile",0.1,0.569993256484602
"2026-02-14","mesa",0,"Flu ED visits pct","2026-02-14","quantile",0.1,0.323103345907015
"2026-02-14","colorado-springs",0,"Flu ED visits pct","2026-02-14","quantile",0.1,0.75489849356162
"2026-02-14","weld",0,"Flu ED visits pct","2026-02-14","quantile",0.1,0.221789558724958
"2026-02-14","boulder",0,"Flu ED visits pct","2026-02-14","quantile",0.1,1.24632313462844
"2026-02-14","larimer",0,"Flu ED visits pct","2026-02-14","quantile",0.1,0.501112569029876
"2026-02-14","colorado",0,"Flu ED visits pct","2026-02-14","quantile",0.25,0.894499845779096
"2026-02-14","denver",0,"Flu ED visits pct","2026-02-14","quantile",0.25,0.713699571835602
